"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","tr001_modele_dpe_type_libelle","tr002_type_batiment_description","code_insee_commune_actualise","tv016_departement_code","geo_adresse","geo_score"
"Factures","2012","2013-06-10",0,"A",0,"A",1948,46.91,46.118288,4.958876,"Vente","Logement","01093","01","64 Rue du 4 Septembre 01400 Châtillon-sur-Chalaronne",0.84
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-22",178,"D",7,"B",1948,75,48.8000429,2.4465225,"Location","Maison Individuelle","02800","02","Avenue du Général Leclerc (Pont) Créteil",0.71
"3CL - DPE","V2012","2013-07-02",0,"N",0,"N",1900,68.02,46.316747,2.600007,"Location","Logement","03140","03","Rue des Girauds 03100 Lavault-Sainte-Anne",0.4
"Méthode 3CL","3CL-DPE, version 1.3","2013-08-19",319,"E",18,"C",1948,49,44.451845,6.846963,"Vente","Logement","04100","04","Rue des Chalenches 04530 Val d'Oronaye",0.33
"3CL - DPE","V2012","2013-08-13",269.33,"E",45.7,"E",1900,150,43.556554,4.095025,"Vente","Logement","5061","05","(Appartement) La Grande-Motte",0.76
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-16",130,"C",30,"D",1948,93.33,,,"Vente","Logement","06000","06",,0
"3CL - DPE","V2012","2013-07-05",0,"N",0,"N",1974,60,,,"Vente","Logement",".","07",,0
"Méthode Facture",,"2013-07-23",0,"N",0,"N",1947,85.4,,,"Vente","Maison Individuelle","08700","08",,0
"Méthode Facture",,"2013-08-01",0,"N",0,"N",1947,93.37,,,"Vente","Maison Individuelle","09600","09",,0
"Méthode Facture",,"2013-07-09",0,"N",0,"N",1947,43.4,,,"Vente","Logement","10300","10",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-28",127,"C",4,"A",2006,136,43.045776,2.176288,"Vente","Maison Individuelle","11120","11","Lotissement Tacha 11300 La Digne-d'Aval",0.42
"Factures","2012","2013-09-04",132.43,"C",35.28,"D",1948,155,,,"Vente","Maison Individuelle","12047","12",,0
"Factures","2012","2013-05-21",0,"A",0,"A",1948,70.99,,,"Vente","Logement","13006","13",,0
"3CL - DPE","V2012","2013-06-07",237.21,"E",11.33,"C",2000,144,49.284967,-0.739881,"Vente","Maison Individuelle","14728","14","2 Route de Barbeville 14400 Vaucelles",0.94
"TROIS_CL_DPE","VERSION_2012","2013-09-02",264.74,"E",61.94,"F",1956,46,44.911617,2.438134,"Location","Logement","15014","15","10 Rue de Marmiesse 15000 Aurillac",0.97
"Méthode Facture",,"2013-06-17",0,"N",0,"N",1947,165,,,"Vente","Maison Individuelle","16240","16",,0
"3CL - DPE","V2012","2013-06-05",262.75,"E",13.61,"C",2005,70.3,46.010901,-1.356576,"Vente","Maison Individuelle","17486","17","33f Rue du Moulin 17840 La Brée-les-Bains",0.8
"3CL - DPE","V2012","2013-06-22",31.87,"A",7.46,"B",2000,63.5,47.10787,2.37412,"Neuf","Logement","18205","18","21 Chemin des Bougnoux 18230 Saint-Doulchard",0.96
"Méthode Facture",,"2013-08-12",0,"N",0,"N",1947,91,,,"Vente","Maison Individuelle","19220","19",,0
"3CL - DPE","V2012","2013-06-07",237.39,"E",55.55,"E",1986,85,47.331116,5.051025,"Vente","Maison Individuelle","21231","21","9 Rue Général Mangin 21000 Dijon",0.85
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-04",139,"C",5,"A",1948,90,,,"Vente","Maison Individuelle","22810","22",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-09-27",150,"C",35,"D",1989,130,,,"Vente","Maison Individuelle","23000","23",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-28",189,"D",44,"E",1948,70,,,"Vente","Logement","24000","24",,0
"Méthode Facture",,"2013-06-26",430,"F",14,"C",1947,24.05,,,"Vente","Logement","25000","25",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-13",197,"D",46,"E",1948,123,,,"Vente","Maison Individuelle","26000","26",,0
"FACTURE","VERSION_2012","2013-06-21",131.95,"C",39.58,"E",1900,170,49.106984,1.54185,"Vente","Maison Individuelle","27072","27","33 Rue du Moulin 27620 Bois-Jérôme-Saint-Ouen",0.33
"3CL","Version 1.3","2013-06-20",392.22,"F",24.02,"D",1975,137,,,"Vente","Maison Individuelle","63000","28",,0
"FACTURE","VERSION_2012","2013-06-07",213.22,"D",31.53,"D",1960,68.92,48.399611,-4.48434,"Vente","Logement","29019","29","19 rue Clement Marot 29200 Brest",0.81
"Méthode 3CL","3CL-DPE, version 1.3","2013-11-01",148,"C",6,"B",1978,95.79,,,"Vente","Maison Individuelle","2A228","2A",,0
"3CL - DPE","V2012","2014-01-20",313.37,"E",7.04,"B",1974,194,,,"Vente","Maison Individuelle","20301","2B",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-13",61,"B",14,"C",2006,68.1,,,"Location","Logement","30100","30",,0
"3CL - DPE","V2012","2013-05-24",375.96,"F",12.24,"C",1900,22.44,43.601327,1.441772,"Vente","Logement","31555","31","20 Rue Cujas 31000 Toulouse",0.98
"Méthode 3CL","3CL-DPE, version 1.3","2013-08-03",314,"E",61,"F",1948,82,47.7767572,1.6369955,"Vente","Maison Individuelle","32720","32","Rue du Pont Beaugency",0.7
"Méthode Facture",,"2013-05-30",84,"B",13,"C",1947,357,44.69341,-0.08754,"Vente","Maison Individuelle","33340","33","21 Rue de La tour 33540 Sauveterre-de-Guyenne",0.45
